"","id","X","MAXAvg","MINAvg","RainAvg","Date","Time","RunDate","Metabolites.Conc","RankProp","Sex","Group.1","Coping","SWDIgr","Strg","Deg"
"116","ds",116,32.15,13.75,0,"2018-09-18","11:14:00","17-Nov",148.8940992,0.177704663,"M","K",-0.764303682,1.04781180072813,15.2468810344837,4
"117","ds",117,27.1,8.6,0,"2018-12-19","08:26:00","15-Nov",84.0413576,0.177704663,"M","K",-0.764303682,1.04781180072813,15.2468810344837,4
"118","ds",118,32.2,15.6,0,"2019-04-07","09:12:00","12-Nov",103.1761566,0.177704663,"M","K",-0.764303682,1.04781180072813,15.2468810344837,4
"119","ds",119,32.05,13.95,0,"2019-02-18","08:36:00","8-Oct",94.70962907,0.177704663,"M","K",-0.764303682,1.04781180072813,15.2468810344837,4
"120","ds",120,31.35,12.1,0,"2019-02-26","08:06:00","8-Nov",123.0743544,0.177704663,"M","K",-0.764303682,1.04781180072813,15.2468810344837,4
"121","ds",121,33.85,9.5,0,"2019-03-18","10:42:00","11-Nov",88.49475382,0.177704663,"M","K",-0.764303682,1.04781180072813,15.2468810344837,4
"122","ds",122,33.4,13.8,4.5,"2019-03-29","09:02:00","12-Nov",89.06307205,0.177704663,"M","K",-0.764303682,1.04781180072813,15.2468810344837,4
"123","ds",123,30.15,8.6,0,"2019-01-21","09:19:00","15-Nov",108.1376673,0.177704663,"M","K",-0.764303682,1.04781180072813,15.2468810344837,4
"124","ds",124,30.15,8.8,0,"2019-02-15","11:59:00","8-Oct",144.2807692,0.177704663,"M","K",-0.764303682,1.04781180072813,15.2468810344837,4
"125","ds",125,31.55,11.75,0,"2018-11-09","10:09:00","21-Nov",82.87884542,0.177704663,"M","K",-0.764303682,1.04781180072813,15.2468810344837,4
"126","ds",126,30.425,10.55,7.745,"2018-08-12","08:42:00","18-Nov",61.57448053,0.177704663,"M","K",-0.764303682,1.04781180072813,15.2468810344837,4
"127","ds",127,30.2,16.7,0,"2018-09-26","08:28:00","17-Nov",105.4187465,0.177704663,"M","K",-0.764303682,1.04781180072813,15.2468810344837,4
"128","ds",128,32.75,9.25,0,"2019-03-04","07:48:00","9-Nov",79.15515075,0.177704663,"M","K",-0.764303682,1.04781180072813,15.2468810344837,4
"129","dv",129,27.7,11.55,0,"2018-11-24","08:20:00","12-Dec",119.8531725,-0.612372436,"F","S",-0.764303682,1.75617576165442,45.993119933797,10
"130","dv",130,30.1,16.5,0.5,"2018-10-11","10:05:00","10-Dec",74.68418466,-0.612372436,"F","S",-0.764303682,1.75617576165442,45.993119933797,10
"131","dv",131,31.6,12.75,0,"2019-02-17","08:12:00","14-Dec",145.154581,-0.612372436,"F","S",-0.764303682,1.75617576165442,45.993119933797,10
"132","dv",132,28.25,13.7,6.6,"2018-12-13","08:57:00","8-Dec",53.08588889,-0.612372436,"F","S",-0.764303682,1.75617576165442,45.993119933797,10
"133","dv",133,31.7,15.85,0,"2019-04-06","07:51:00","12-Dec",240.0648803,-0.612372436,"F","S",-0.764303682,1.75617576165442,45.993119933797,10
"134","dv",134,29.74,12.895,0,"2018-08-22","10:38:00","12-Dec",72.03570348,-0.612372436,"F","S",-0.764303682,1.75617576165442,45.993119933797,10
"135","dv",135,31.7,14.4,0,"2018-09-21","11:00:00","11-Dec",152.5839442,-0.612372436,"F","S",-0.764303682,1.75617576165442,45.993119933797,10
"136","dv",136,31.5,16.25,0,"2018-10-01","08:33:00","10-Dec",71.63665005,-0.612372436,"F","S",-0.764303682,1.75617576165442,45.993119933797,10
"137","dv",137,31.75,9.1,0,"2019-02-05","10:35:00","14-Dec",143.2008221,-0.612372436,"F","S",-0.764303682,1.75617576165442,45.993119933797,10
"138","dv",138,33.85,9.5,0,"2019-03-18","07:53:00","13-Dec",131.9281616,-0.612372436,"F","S",-0.764303682,1.75617576165442,45.993119933797,10
"139","dv",139,27.1,8.6,0,"2018-12-19","10:05:00","8-Dec",356.3758497,-0.612372436,"F","S",-0.764303682,1.75617576165442,45.993119933797,10
"140","dv",140,27.35,12.4,0,"2018-12-22","09:56:00","8-Dec",77.19999491,-0.612372436,"F","S",-0.764303682,1.75617576165442,45.993119933797,10
"141","dv",141,27.6,12.85,0,"2018-11-27","09:10:00","11-Dec",211.7674901,-0.612372436,"F","S",-0.764303682,1.75617576165442,45.993119933797,10
"142","dv",142,24.3,15.3,0,"2018-10-24","09:07:00","9-Dec",76.0599972,-0.612372436,"F","S",-0.764303682,1.75617576165442,45.993119933797,10
"143","dv",143,28.605,11.83,0,"2019-01-17","09:18:00","7-Dec",79.44714578,-0.612372436,"F","S",-0.764303682,1.75617576165442,45.993119933797,10
"144","dv",144,30.15,10.55,0,"2019-01-24","08:32:00","4-Sep",151.2451791,-0.612372436,"F","S",-0.764303682,1.75617576165442,45.993119933797,10
"145","dv",145,32.85,11.25,0,"2019-04-02","08:21:00","13-Dec",190.6842832,-0.612372436,"F","S",-0.764303682,1.75617576165442,45.993119933797,10
"146","dv",146,27.75,15.85,0,"2019-02-27","08:38:00","14-Dec",147.1197409,-0.612372436,"F","S",-0.764303682,1.75617576165442,45.993119933797,10
"147","dv",147,27.9,12.65,0,"2018-11-28","09:04:00","11-Dec",130.6447924,-0.612372436,"F","S",-0.764303682,1.75617576165442,45.993119933797,10
"148","dv",148,29.7,10.65,0,"2019-01-12","10:45:00","7-Dec",119.9988,-0.612372436,"F","S",-0.764303682,1.75617576165442,45.993119933797,10
